In_temp,Out_temp,label
108,55,M
126,55,M
125,56,M
127,55,M
51,56,M
125,57,M
126,57,M
125,57,M
127,57,M
126,58,M
126,58,M
126,58,M
126,58,M
126,58,M
126,58,M
127,58,M
127,57,M
127,58,M
127,60,M
127,49,M
95,62,M
128,60,M
80,103,M
132,61,M
132,62,M
148,59,M
108,63,M
117,62,M
119,62,M
119,62,M
119,61,M
118,62,M
118,62,M
127,63,M
128,60,M
129,62,M
125,63,M
127,64,M
127,64,M
127,70,M
127,65,M
127,74,M
134,70,M
127,66,M
130,58,M
118,61,M
118,61,M
101,63,M
117,64,M
119,64,M
118,64,M
118,62,M
118,62,M
118,62,M
117,62,M
117,62,M
116,61,M
116,61,M
117,62,M
105,63,M
115,64,M
115,64,M
115,65,M
115,63,M
114,63,M
115,63,M
114,64,M
113,61,M
115,60,M
113,62,M
114,63,M
114,62,M
113,58,M
116,58,M
112,62,M
116,65,M
115,82,M
28,78,F
14,77,F
13,78,F
14,78,F
12,77,F
14,77,F
14,77,F
13,76,F
13,75,F
14,73,F
14,87,F
34,86,F
33,86,F
33,85,F
30,85,F
30,87,F
28,87,F
29,87,F
29,88,F
29,88,F
29,87,F
28,87,F
30,79,F
28,80,F
29,81,F
28,81,F
29,82,F
28,82,F
27,82,F
28,82,F
29,82,F
29,80,F
28,85,F
35,82,F
29,64,F
140,55,M
140,67,M
139,94,M
29,92,F
31,95,F
31,89,F
34,57,F
140,50,M
136,49,M
77,49,M
87,47,M
90,47,M
55,47,M
60,41,M
73,46,M
52,48,M
54,48,M
46,48,M
72,54,M
85,48,M
67,48,M
140,43,M
49,49,M
104,50,M
39,52,M
47,51,M
49,54,M
50,56,M
51,56,M
80,53,M
51,52,M
125,51,M
96,53,M
137,54,M
136,56,M
137,55,M
136,55,M
136,54,M
137,54,M
137,54,M
136,53,M
137,53,M
137,53,M
137,55,M
135,56,M
136,52,M
137,51,M
139,45,M
138,39,M
138,39,M
132,41,M
37,43,M
35,42,M
45,43,M
108,39,M
114,39,M
129,39,M
130,36,M
133,53,M
134,55,M
117,72,M
120,71,M
4,71,F
4,70,F
8,42,F
11,35,F
11,39,F
12,42,F
125,40,M
109,45,M
124,41,M
116,41,M
114,45,M
115,43,M
84,41,M
99,41,M
87,40,M
89,40,M
77,40,M
85,39,M
84,44,M
86,40,M
89,40,M
89,40,M
89,39,M
82,40,M
95,41,M
86,44,M
85,44,M
86,44,M
84,43,M
84,38,M
95,44,M
94,43,M
75,43,M
94,69,M
30,65,F
94,60,M
95,62,M
91,65,M
98,90,M
97,61,M
98,64,M
101,64,M
100,64,M
108,64,M
98,63,M
97,61,M
97,62,M
97,61,M
96,64,M
96,64,M
96,61,M
96,64,M
95,63,M
95,60,M
95,40,M
93,58,M
92,57,M
93,55,M
87,65,M
90,63,M
90,58,M
87,49,M
86,53,M
54,53,M
52,52,M
66,52,M
59,55,M
40,52,M
41,54,M
34,54,M
38,50,M
38,49,M
34,51,M
28,48,F
32,48,M
31,47,M
32,47,M
34,54,M
34,54,M
35,53,M
31,54,F
34,52,M
34,52,M
34,51,M
32,52,M
33,52,M
34,41,M
33,48,M
32,50,M
32,48,M
35,49,M
36,52,M
36,48,M
36,53,M